,dropout,l2_regularizer,learning_rate,lowest_val_err
0,0.205573523147,1.22971276257e-06,0.000474722456675,20.39
1,0.245687979805,6.31613331087e-07,0.0061749014532,20.99
2,0.0173507056626,0.000202192134141,0.0052991552607,22.37
3,0.351168489798,0.000151343453489,4.30290739179e-05,21.35
4,0.326937344589,1.47895496558e-05,0.000241556834447,20.53
5,0.168582845759,1.60832276191e-07,0.00075302016155,20.08
6,0.308454457625,4.59566725206e-05,1.18002363598e-05,24.28
7,0.0193357223623,4.27890001965e-07,3.75378641406e-05,22.57
8,0.333412261627,0.000513386981298,2.95347054447e-05,22.65
9,0.211963728368,3.03748555186e-05,8.59305334098e-06,25.82
10,0.249114355861,2.51182008716e-05,1.40616752943e-06,32.16
11,0.136863460127,0.000183890952811,0.000156306944993,20.25
12,0.0335875466948,0.000162874434716,0.00294944389315,20.37
13,0.16976340603,1.08114970375e-06,8.47069395963e-05,21.04
14,0.0747062685226,1.14002396586e-06,4.50291938008e-05,20.41
15,0.0930282093087,1.04906396905e-07,2.07187454647e-05,23.54
16,0.31942487595,8.82497003694e-05,0.00842465870134,23.1
17,0.121937276496,0.000957882498828,1.13968285719e-05,24.87
18,0.33091253909,0.000438050911856,1.85449891911e-06,30.77
19,0.0731907216412,8.47901507622e-07,2.47554954026e-05,22.35
20,0.20197496675,8.27953372388e-06,1.28331096974e-05,24.54
21,0.0777664083068,4.75282648313e-07,6.61089784782e-05,21.94
22,0.164202370616,1.3947659372e-06,0.000107400658271,20.18
23,0.170344828973,1.72018922763e-07,0.00101754321444,20.08
24,0.370858823443,0.000744719129987,2.27862890284e-05,22.45
25,0.153180782972,2.91679575141e-06,1.6919266061e-05,23.1
26,0.0226544766512,7.17920658566e-06,0.00911024063056,21.72
27,0.276890768319,0.000173438544916,1.97632594739e-05,22.99
28,0.136774149796,8.68165180233e-05,0.000295370054789,20.37
29,0.228763814573,1.31408338013e-05,3.74735237031e-05,21.39
