,dropout,l2_regularizer,learning_rate,lowest_val_err
0,0.0648810907111,0.000300307201399,0.000512201060735,32.05
1,0.361493535805,5.70967529625e-06,0.000458578288601,31.9
2,0.204879083291,1.14825180971e-07,0.00321051586328,31.9
3,0.328442039564,1.9621300214e-07,0.00010253642903,33.4
4,0.225246201356,9.78143886266e-07,0.00159670664876,31.78
5,0.36604180978,1.16779724437e-05,1.19723503279e-05,40.16
6,0.297175132925,3.06174116795e-07,1.289908671e-06,59.47
7,0.299167444995,3.2737092951e-05,0.000852382897316,31.83
8,0.21233161761,5.95875311386e-05,9.49063467524e-06,41.7
9,0.00883597940684,5.11525008668e-07,4.79153904842e-05,34.63
10,0.243503415118,0.000321685627,1.40574832609e-06,61.84
11,0.304437358862,3.31914241193e-07,1.19811556901e-06,64.46
12,0.149582276612,7.98088752482e-05,3.08459603782e-05,35.86
13,0.120206653488,4.73471477252e-05,4.07729893609e-05,35.05
14,0.395680176342,3.12753491451e-06,8.73046552198e-06,42.99
15,0.278888164031,2.03474423803e-07,1.70947575256e-06,58.09
16,0.0725553862778,1.24668975586e-05,5.40806672821e-06,46.67
17,0.185767383162,1.65526964488e-07,0.000209170005592,32.44
18,0.363636634146,0.000715599641539,1.07663766813e-05,41.09
19,0.369814702492,1.49383099851e-07,5.20071210471e-05,34.56
20,0.374530391089,0.000266352593239,1.25460633605e-05,40.07
21,0.347480426274,0.000133647422876,0.00419120608136,32.02
22,0.388628159463,3.18809605343e-06,0.000107447153241,33.2
23,0.143357712717,1.66742465956e-07,0.000968621964505,31.6
24,0.226379760368,0.000388797180312,0.00696403463644,32.64
25,0.322489639534,5.55771979832e-06,0.00519046058486,31.94
