,dropout,l2_regularizer,learning_rate,lowest_val_err
0,0.160383071248,0.000241101900363,0.00023428697005,29.95
1,0.0703932371233,3.28656355697e-07,0.0767070841616,85.26
2,0.277033739238,4.58645585578e-07,0.0609595139554,44.33
3,0.252023151931,2.15103462306e-05,0.000152805255773,30.4
4,0.0248250146334,2.38966364827e-05,0.0351195949358,36.07
5,0.279182625953,2.03028607818e-07,0.00189578102548,28.05
6,0.00554016189712,1.28362233987e-07,0.00803255130568,29.91
7,0.10582884446,0.00938378069065,0.000624372230503,30.84
8,0.148684574011,3.66461237996e-05,0.029414192071,35.08
9,0.00815333667342,2.21168322966e-07,0.0234987006353,35.93
10,0.133793032451,1.42610509629e-07,0.0296228783317,35.21
11,0.0673093587384,0.0016342971224,0.00015815684594,29.36
12,0.13379961053,0.00121483115537,0.00543142118892,32.44
13,0.128585992583,5.19989634333e-07,0.000268536661015,29.04
14,0.150280612701,0.000146307578032,0.000132392178769,30.02
15,0.210354904293,1.05630038778e-06,0.0154140936618,31.74
16,0.265293799132,0.00672737093032,0.000130653067601,30.78
17,0.0376191314741,0.00306191945532,0.0173506337561,38.42
18,0.193238411697,3.16313390427e-06,0.00496423489136,29.17
19,0.130152097818,2.353120226e-05,0.00100987742553,28.62
20,0.000995639502374,7.5090122809e-07,0.00531302133525,28.95
21,0.168752970087,0.000347776529346,0.000102562878676,30.61
22,0.14733105045,1.50248702687e-05,0.0212416826197,34.24
23,0.222046899931,0.00488551189027,0.0342449589674,43.61
24,0.188446721732,0.00281739272699,0.00113982033834,29.48
25,0.239087147098,2.25124866122e-07,0.0387251396241,36.87
26,0.167328936069,0.0056979661229,0.000163211972209,30.28
27,0.102363002112,2.19735527464e-07,0.00246512782635,28.96
28,0.208926334493,0.00153359302606,0.00134585014527,29.81
29,0.207312606953,0.000130172175122,0.00112762021503,27.8
